id,distance_km,elevation_m,drainage_area_m2,x_coord,y_coord,chi,slope
3173,12.32843184,254,2330934.625,253388.4791,6228892.608,28.402590327448156,-9.990859426483384
3174,12.33034638,263,967233.1418,254509.8524,6230314.837,28.406468038266887,13.580285603860771
3175,12.33226092,202,114293594.2,251364.5372,6229603.723,28.406797972209485,16.488873594852464
3176,12.33313614,217,105475.5398,250133.7618,6229275.516,28.409650967130265,-3.8486702844105114
3177,12.33330024,206,292488.9083,249039.7391,6229959.28,28.409935629037438,134.06459475932402
3178,12.33330024,195,1982341.706,248246.5727,6229494.32,28.41747601741542,-2.2365251788975273
3179,12.34358405,229,816126.3401,251856.8474,6229740.475,28.429674494701136,-6.541787234195736
3180,12.34445927,268,232644.6304,254728.6569,6229959.28,28.43135746081928,-42.2750851215479
3181,12.34445927,266,383003.3787,254728.6569,6229740.475,28.432954362274536,57.730054266258705
3182,12.34549859,208,2224711.032,246332.033,6230807.148,28.434287151045133,4.17854941657056
3184,12.34637381,258,177288.6733,254044.8927,6229029.361,28.436189020888314,-38.84737551701733
3183,12.34637381,242,14180849.71,254509.8524,6229111.412,28.4370825195322,20.65094486536525
3185,12.34932767,197,435367.1218,248383.3255,6229412.269,28.44136677026031,16.927003988004305
3186,12.34932767,192,7625657.113,247453.4063,6229412.269,28.4428323749309,-5.184202915159778
3187,12.35299265,216,549819.3034,249832.9055,6229412.269,28.45011801732272,-1.0753613214037723
3188,12.35490719,198,18242032.02,246824.3432,6230205.435,28.45087146369198,-15.413567523962115
3189,12.3557824,259,2330186.571,253388.4791,6228865.257,28.45407875404442,-1.2754315741589946
3190,12.35961148,204,114292098.1,251364.5372,6229576.372,28.45465452513842,10.88651120181116
3191,12.36065081,206,288748.6409,249039.7391,6229931.929,28.456467907932392,11.545899762351242
3192,12.36065081,192,201974.438,247480.7568,6229412.269,28.460054907864926,-30.849562678851655
3193,12.36240124,260,498951.6671,252868.8184,6228892.608,28.471471362835402,-8.722385584404712
3194,12.36902008,265,966485.0883,254537.2029,6230342.188,28.481002773650083,-0.5314286928980524
3195,12.37180984,265,365798.1488,254756.0074,6229740.475,28.485636189027353,23.35926550344594
3196,12.37197394,196,1978601.439,248219.2221,6229466.97,28.487041178934458,2.08927470828528
3197,12.37372438,261,175044.5129,254044.8927,6229002.01,28.49732248263906,0.8502859086365551
3199,12.37667824,192,7457345.082,247453.4063,6229384.918,28.498515638019725,21.32802502487229
3198,12.37667824,198,430878.801,248410.6761,6229412.269,28.503856122052863,-6.548484707927526
3200,12.38034321,216,549071.2499,249805.555,6229412.269,28.511146216381185,-6.0937250762168365
3201,12.38225775,232,814630.2331,251884.198,6229713.125,28.514198357512683,-18.99805001146045
3202,12.38313297,269,225912.1491,254756.0074,6229986.631,28.515903711038764,-34.27709604442706
3203,12.38313297,262,2328690.464,253388.4791,6228837.907,28.51661250334517,56.767886695154395
3204,12.38417229,210,2178331.716,246304.6825,6230779.797,28.517957987668677,9.92405486435508
3205,12.38504751,243,14174865.28,254537.2029,6229138.763,28.519116447344807,1.04463735414264
3206,12.38800137,206,277527.8388,249039.7391,6229904.579,28.52436297495834,17.26554406776439
3207,12.38800137,192,152602.9087,247480.7568,6229384.918,28.528432221172594,-30.849386439984354
3208,12.38975181,260,192249.7428,252868.8184,6228865.257,28.540122564008378,-1.2545882083044009
3209,12.39358089,199,18239039.8,246796.9927,6230178.084,28.5424273982324,6.6796587983403075
3210,12.39828518,203,114288357.8,251337.1867,6229549.021,28.543087278539797,-11.649768528065398
3211,12.3991604,264,203470.5449,254783.358,6229740.475,28.545210023267753,11.545899762351242
3213,12.39932451,191,201226.3845,247508.1074,6229384.918,28.545546881243034,414.3562244797187
3212,12.39932451,196,1975609.225,248219.2221,6229439.619,28.546832313759964,-42.27532663402583
3214,12.40107494,265,173548.406,254044.8927,6228974.66,28.55067270498912,-36.56244465645477
3215,12.40107494,260,305953.8708,252896.1689,6228865.257,28.555693988391106,22.343645264165684
3216,12.4040288,199,427886.5871,248438.0266,6229412.269,28.56536905546132,-0.9065032543465461
3217,12.40769378,266,960500.6605,254564.5535,6230369.538,28.5710372257918,-5.914487267722675
3218,12.40960832,232,813882.1797,251911.5486,6229713.125,28.574090628978798,0.358453773801608
3219,12.41048354,265,149610.6948,254783.358,6229713.125,28.576143464007696,-34.27709604442706
3220,12.41048354,262,2327942.411,253388.4791,6228810.556,28.577449324984833,12.013329572640359
3221,12.41239808,242,14171125.01,254564.5535,6229138.763,28.578922398122458,11.502752444332055
3222,12.41535194,206,274535.6249,249039.7391,6229877.228,28.584194581328635,16.92700398799388
3223,12.41535194,192,7455848.975,247480.7568,6229357.568,28.584901697966888,-30.849562678883714
3224,12.41710237,260,190005.5824,252868.8184,6228837.907,28.592621311628058,-6.275631178427431
3225,12.41901691,215,448084.0309,249778.2044,6229384.918,28.598103483972515,15.93071965067526
3226,12.42093145,199,18238291.75,246796.9927,6230150.734,28.5988570025707,-19.714957559075586
3227,12.42180667,270,216935.5074,254783.358,6230013.981,28.60265614573786,-6.267824124849885
3228,12.42284599,211,2176087.556,246277.3319,6230752.446,28.605348362847327,16.975357004817898
3229,12.42563575,205,114238238.2,251337.1867,6229521.671,28.605781900118636,-15.006903175462517
3230,12.42651097,266,201226.3845,254810.7086,6229740.475,28.60791524501454,14.432513566564676
3231,12.42667507,190,151854.8552,247508.1074,6229357.568,28.619257864193703,13.351409087176123
3232,12.43137937,201,426390.4802,248465.3772,6229412.269,28.6315109289048,-9.080828936299508
3233,12.43504435,266,958256.5001,254591.904,6230369.538,28.63718506887439,-5.556033493921301
3234,12.43695889,232,709902.7468,251938.8991,6229713.125,28.640432169932023,1.0753651760910812
3235,12.4378341,263,368790.3627,253415.8297,6228810.556,28.641799997876262,-34.27748768866306
3236,12.4378341,262,1955411.781,253388.4791,6228783.206,28.641921071027863,408.2627505948363
3237,12.43799821,196,1974113.118,248191.8715,6229412.269,28.642041626696006,438.73012004221215
3238,12.43799821,190,200478.331,247535.458,6229357.568,28.645640647898066,-25.707968899069762
3239,12.43974864,241,14165140.58,254591.904,6229138.763,28.64617039105122,-43.98919122729715
3240,12.43974864,267,170556.1921,254017.5422,6228947.309,28.64617039105122,-inf
3241,12.43974864,260,305205.8174,252923.5195,6228837.907,28.65119720890476,25.729046061766542
3243,12.4427025,191,7349625.382,247480.7568,6229330.217,28.652398202166317,18.281164307044648
3242,12.4427025,206,222919.9352,249039.7391,6229849.878,28.65582943528153,-39.41866045109112
3244,12.44445294,260,165319.8177,252868.8184,6228810.556,28.668341259378376,-4.659899059416346
3245,12.44828202,232,100987.219,251938.8991,6229685.774,28.67906001966891,15.930719650667692
3246,12.44828202,199,18236795.64,246796.9927,6230123.383,28.679296426705207,-43.41765498960761
3247,12.44915724,270,167563.9782,254783.358,6230041.332,28.681247196127412,-76.5521811658871
3248,12.44915724,266,148862.6413,254810.7086,6229685.774,28.683690433791867,56.767886695154395
3249,12.45019656,211,260322.6089,246249.9813,6230752.446,28.69229016078319,-0.6377144314776628
3250,12.45386154,269,197486.1171,254838.0591,6229740.475,28.700216506076238,4.96202743217754
3251,12.45402564,192,101735.2725,247453.4063,6229330.217,28.71089969999,14.363801131868376
3252,12.45769061,214,447335.9774,249750.8538,6229357.568,28.72163715526963,-2.535344706800954
3253,12.46151969,211,1909780.519,246249.9813,6230725.096,28.726572407240827,-2.719509763039638
3254,12.46430945,232,707658.5864,251966.2497,6229713.125,28.729824149732195,2.1507226428068433
3255,12.46430945,205,114230009.6,251309.8361,6229494.32,28.729927684482796,-36.56223578079818
3256,12.46518467,264,368042.3092,253443.1803,6228810.556,28.731296778433535,-65.12648248454677
3257,12.46518467,262,1949427.353,253388.4791,6228755.855,28.731418011310204,450.9445460036368
3258,12.46534877,190,151106.8017,247535.458,6229330.217,28.735888516904218,10.446373541416474
3259,12.46709921,242,13854698.39,254619.2546,6229138.763,28.737326475329425,-3.401143634547535
3260,12.47005307,206,222171.8818,249039.7391,6229822.527,28.743125431416765,13.541603190403443
3261,12.47005307,202,425642.4267,248492.7278,6229384.918,28.743125431416765,inf
3262,12.47005307,192,7340648.74,247480.7568,6229302.866,28.743837524445286,-33.70581111031825
3263,12.47180351,261,164571.7643,252868.8184,6228783.206,28.752072867918255,-20.46395887562055
3264,12.47371805,267,888687.5271,254619.2546,6230396.889,28.75610121939649,15.930719650682827
3265,12.47563259,200,18129823.99,246796.9927,6230096.033,28.75685676063905,-1.4338202347890432
3266,12.4765078,271,157091.2295,254810.7086,6230041.332,28.75924155489254,2.8865027133078835
3267,12.47667191,197,1972617.011,248219.2221,6229384.918,28.759362151697385,487.47791115261026
3268,12.47667191,191,199730.2775,247562.8085,6229330.217,28.76296723243027,-25.70796889909648
3269,12.47842234,242,255086.2346,254619.2546,6229111.412,28.766196511605017,-40.56146204079666
3270,12.47842234,262,299221.3896,252950.8701,6228810.556,28.770986562869325,-10.395159440233076
3271,12.4812121,271,192249.7428,254865.4097,6229740.475,28.790699685074234,-0.8502859086367194
3272,12.48783094,270,143626.267,254838.0591,6229658.424,28.80899497083445,7.4430411482663095
3273,12.48887026,214,253590.1277,246222.6308,6230779.797,28.81607776939424,9.40173618728376
3274,12.49166002,234,294733.0687,251993.6003,6229713.125,28.820900509488514,3.226083964212368
3275,12.49166002,205,114216544.7,251309.8361,6229466.97,28.82123054356931,-2.867630190409124
3276,12.49444978,242,13850210.07,254646.6052,6229138.763,28.822668711669976,-2.3382862487514307
3277,12.49636432,216,446587.9239,249723.5033,6229330.217,28.830904341319282,5.397302393442889
3278,12.50019339,211,1901551.931,246222.6308,6230697.745,28.83441885634981,-11.053740309373678
3279,12.50106861,268,837071.8373,254619.2546,6230424.24,28.83743390010098,-8.244436797431607
3280,12.50298315,234,402452.769,251993.6003,6229685.774,28.840310720402176,36.5623073949924
3281,12.50298315,198,18126083.73,246796.9927,6230068.682,28.84054777612591,-43.41765498960761
3282,12.50385837,272,156343.1761,254838.0591,6230041.332,28.842560349482564,-77.69475103403467
3283,12.50385837,266,350089.0258,253470.5308,6228783.206,28.842560349482564,inf
3284,12.50385837,263,1935214.337,253361.1286,6228728.504,28.84268198222606,420.4753199269708
3285,12.50402247,197,1971868.957,248219.2221,6229357.568,28.84280259226645,426.56916514330374
3286,12.50402247,193,198982.2241,247590.1591,6229330.217,28.84280259226645,inf
3287,12.50402247,192,150358.7483,247562.8085,6229302.866,28.846899057917017,-40.56123031923869
3289,12.50577291,264,290992.8014,252950.8701,6228783.206,28.849942536310067,-31.420671374058138
3288,12.50577291,247,254338.1811,254619.2546,6229084.062,28.855096028768497,-2.867630190410994
3290,12.50856267,272,187761.422,254892.7603,6229740.475,28.861351168959175,13.541603190395104
3291,12.50872677,207,218431.6144,249012.3885,6229795.177,28.861675797434764,426.56916513857533
3292,12.50872677,202,411429.4107,248520.0783,6229357.568,28.861675797434764,inf
3293,12.50872677,191,7339152.633,247453.4063,6229275.516,28.8623879557826,-35.419665912611435
3294,12.51047721,264,160831.4969,252841.4678,6228755.855,28.877042796013015,-12.858787276928204
3295,12.5151815,274,111459.9676,254838.0591,6229631.073,28.899892841577536,6.796845794802418
3296,12.51901058,206,114212804.4,251309.8361,6229439.619,28.900902372048776,6.679650970659582
3297,12.52371488,217,445839.8705,249723.5033,6229302.866,28.91314742262403,-0.9374948730750291
3298,12.52754396,214,1894071.396,246222.6308,6230670.395,28.91601315802684,-0.52231867707132
3299,12.52754396,219,252842.0742,246195.2802,6230807.148,28.917634240210287,-62.84134274798567
3300,12.52841918,269,207210.8123,254619.2546,6230451.59,28.92328557793255,7.527529249823951
3302,12.53033372,198,18120847.35,246796.9927,6230041.332,28.923804203738662,17.75883502042488
3301,12.53033372,235,293236.9618,252020.9508,6229740.475,28.925320691178456,-85.69274011106765
3303,12.53120894,273,154099.0156,254865.4097,6230041.332,28.92734640130288,-33.13452617627949
3304,12.53120894,264,1928481.856,253361.1286,6228701.154,28.927468224946498,487.5076173066328
3305,12.53137304,193,198234.1706,247617.5097,6229330.217,28.92780734092411,432.66301035963664
3306,12.53137304,193,143626.267,247590.1591,6229302.866,28.931989128717277,-27.992961769615434
3307,12.53312348,242,13813555.45,254673.9557,6229111.412,28.93252490041656,-32.563241242205706
3308,12.53312348,250,253590.1277,254619.2546,6229056.711,28.93252490041656,-inf
3309,12.53312348,266,279023.9458,252950.8701,6228755.855,28.93746796888855,-8.244466350031622
3310,12.53591323,273,185517.2615,254920.1108,6229740.475,28.943757046669546,18.95824446656482
3311,12.53607734,210,210951.0797,249012.3885,6229767.826,28.944086825870333,505.75833282643896
3312,12.53607734,190,7336908.472,247453.4063,6229248.165,28.94557810703557,-16.098358240313843
3313,12.53974231,269,629112.9716,254646.6052,6230451.59,28.95243517062047,-7.885997157454512
3314,12.54165685,234,393476.1273,252020.9508,6229658.424,28.956669879627164,-2.867630190410994
3315,12.54253207,277,110711.9141,254838.0591,6229603.723,28.959020593530454,-39.989945385248014
3316,12.54253207,269,348592.9189,253497.8814,6228755.855,28.959283641669074,481.4137720902999
3317,12.54269617,198,1959152.048,248191.8715,6229330.217,28.96210614056203,16.45303832774658
3318,12.54636115,206,114198591.4,251309.8361,6229412.269,28.96266270785056,-0.8502859086368838
