
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-3,267,0.3015591948845414,0.2646520410038472,0.11735807321677283,0.16769033394546462,1.0,0.12845518296986802,0.09781111619683291,0.12973677715770715,0.11397634093057996,0.10561074198921483,0.145397136168829,0.10169040887014513,0.10758134908752337
CT-4,308,0.7296817203123028,0.7629829461546185,0.9661609537981017,0.8187036506816765,0.12845518296986802,1.0,0.9514454560719029,0.9609003538085739,0.9581275108148128,0.9511133172923074,0.8181720380309585,0.940841479372926,0.9499972955309509
CT-5,259,0.6951264883536068,0.7379214573429342,0.9558612616851555,0.7872984654623747,0.09781111619683291,0.9514454560719029,1.0,0.93323570018159,0.9370619179817433,0.9704928052415176,0.791477487995043,0.9686851547693132,0.9676769242452102
CT-6,299,0.7155911064287817,0.731624773990724,0.9553330299675553,0.8036793344951821,0.12973677715770715,0.9609003538085739,0.93323570018159,1.0,0.9661338142193578,0.9257280133848553,0.8001170394477994,0.9200020530835442,0.9300523588096861
CT-7,219,0.7197476885406173,0.7405637379222318,0.9422377459700629,0.8111307718643548,0.11397634093057996,0.9581275108148128,0.9370619179817433,0.9661338142193578,1.0,0.943614688592148,0.8091069682789824,0.9238144019421715,0.9446594335526952
CT-8.2,222,0.7071598897699111,0.7579086899056644,0.951811131852047,0.8030468591472656,0.10561074198921483,0.9511133172923074,0.9704928052415176,0.9257280133848553,0.943614688592148,1.0,0.808470891473978,0.9595225081842548,0.9816148575215607
CT-9,250,0.7593398610714562,0.8022798065992316,0.787078269650427,0.9196685724140427,0.145397136168829,0.8181720380309585,0.791477487995043,0.8001170394477994,0.8091069682789824,0.808470891473978,1.0,0.7934971646819364,0.8003398028044127
CT-10,203,0.6984986974136513,0.743714674245632,0.9478834351156065,0.7868300231169048,0.10169040887014513,0.940841479372926,0.9686851547693132,0.9200020530835442,0.9238144019421715,0.9595225081842548,0.7934971646819364,1.0,0.9665385264302236
CT-11,215,0.705150725973388,0.7498111963146427,0.9570545507005122,0.7936682989715134,0.10758134908752337,0.9499972955309509,0.9676769242452102,0.9300523588096861,0.9446594335526952,0.9816148575215607,0.8003398028044127,0.9665385264302236,1.0

Kolgomorov-Smirnov Dmax
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,0.0,0.16452684123693895,0.3242481203007519,0.23053241579137992,0.8027262999173111,0.3116883116883117,0.32757107757107756,0.3572623029144768,0.3702188222736168,0.31838656838656837,0.22618181818181818,0.312807881773399,0.3152823920265781
CT-Ter-10,307,0.16452684123693895,0.0,0.450775758614778,0.3207885072089492,0.7687296416938111,0.42421422225982486,0.41330348496472274,0.5109975706208535,0.5314354558029539,0.36837162895794817,0.21798045602605864,0.3365960109754336,0.38356185137489585
