CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
7.64,0.15,6.87,0.225,254.0,6.35,5.04,0.165,6.8,0.2,4.44,0.425,6.7,0.35,7.22,0.2,7.37,0.27,7.31,0.235,7.23,0.225
7.67,0.27,6.9,0.275,289.9,4.85,5.06,0.135,6.8,0.2,4.48,0.155,6.7,0.2,7.23,0.29,7.37,0.19,7.34,0.155,7.23,0.195
7.76,0.44,7.0,0.365,291.4,7.0,5.09,0.345,6.8,0.15,4.48,0.2,6.8,0.4,7.28,0.195,7.42,0.255,7.37,0.12,7.26,0.23
7.79,0.14,7.03,0.235,292.6,4.55,5.1,0.3,6.9,0.35,4.49,0.17,6.8,0.3,7.3,0.1,7.48,0.33,7.39,0.185,7.28,0.33
7.84,0.245,7.12,0.35,293.2,7.2,5.13,0.32,6.9,0.25,4.62,0.245,6.8,0.25,7.32,0.22,7.48,0.24,7.41,0.27,7.31,0.295
7.89,0.21,7.18,0.185,294.7,5.55,5.15,0.16,6.9,0.4,4.62,0.31,6.8,0.4,7.34,0.165,7.53,0.23,7.44,0.13,7.34,0.43
7.94,0.295,7.19,0.43,296.6,6.6,5.15,0.16,6.9,0.2,4.65,0.225,6.8,0.2,7.41,0.17,7.53,0.25,7.46,0.26,7.4,0.205
7.96,0.335,7.3,0.365,297.1,4.7,5.16,0.15,6.9,0.2,4.67,0.145,6.9,0.25,7.43,0.37,7.58,0.27,7.5,0.27,7.41,0.305
7.97,0.29,7.31,0.345,297.1,5.7,5.17,0.295,6.9,0.2,4.7,0.16,6.9,0.25,7.44,0.14,7.64,0.285,7.55,0.175,7.42,0.175
7.97,0.19,7.32,0.15,297.5,3.85,5.2,0.24,6.9,0.35,4.74,0.225,6.9,0.4,7.44,0.34,7.65,0.235,7.56,0.295,7.54,0.33
7.98,0.34,7.33,0.355,297.8,3.95,5.2,0.2,6.9,0.3,4.87,0.25,6.9,0.25,7.46,0.215,7.68,0.175,7.62,0.275,7.55,0.2
8.0,0.35,7.33,0.255,297.9,9.45,5.2,0.18,6.9,0.15,4.92,0.26,6.9,0.2,7.47,0.235,7.73,0.305,7.63,0.215,7.55,0.205
8.01,0.2,7.35,0.235,297.9,5.55,5.2,0.28,6.9,0.2,4.94,0.225,6.9,0.3,7.51,0.255,7.75,0.225,7.66,0.42,7.56,0.18
8.02,0.31,7.39,0.345,298.1,3.6,5.2,0.255,6.9,0.2,4.95,0.155,6.9,0.35,7.51,0.16,7.76,0.215,7.7,0.17,7.59,0.12
8.04,0.26,7.4,0.25,299.2,4.4,5.23,0.16,7.0,0.3,5.0,0.25,6.9,0.3,7.54,0.145,7.76,0.1,7.71,0.145,7.62,0.11
8.04,0.31,7.42,0.31,299.4,5.55,5.25,0.155,7.0,0.3,5.01,0.2,7.0,0.2,7.6,0.225,7.79,0.27,7.72,0.185,7.63,0.255
8.06,0.285,7.42,0.175,299.4,5.65,5.27,0.26,7.0,0.3,5.01,0.175,7.0,0.3,7.61,0.16,7.79,0.205,7.73,0.13,7.64,0.21
8.14,0.455,7.44,0.255,299.5,9.6,5.3,0.28,7.0,0.5,5.01,0.09,7.0,0.3,7.64,0.175,7.79,0.195,7.79,0.145,7.66,0.255
8.14,0.205,7.44,0.305,299.6,5.3,5.56,0.145,7.0,0.3,5.02,0.28,7.0,0.3,7.65,0.23,7.82,0.23,7.85,0.115,7.68,0.095
8.15,0.315,7.45,0.345,299.8,5.85,5.57,0.17,7.0,0.35,5.07,0.155,7.0,0.25,7.68,0.175,7.83,0.19,7.88,0.195,7.71,0.2
8.17,0.4,7.46,0.225,300.0,5.45,5.6,0.435,7.0,0.2,5.08,0.33,7.0,0.35,7.7,0.16,7.83,0.245,7.95,0.155,7.71,0.345
8.18,0.32,7.46,0.335,300.1,6.25,5.63,0.57,7.0,0.3,5.09,0.25,7.0,0.4,7.73,0.185,7.84,0.215,7.95,0.215,7.79,0.185
8.2,0.38,7.47,0.26,300.2,6.5,5.81,0.165,7.0,0.45,5.1,0.22,7.0,0.3,7.74,0.215,7.87,0.185,8.06,0.155,7.81,0.38
8.24,0.415,7.5,0.215,300.4,6.6,6.03,0.305,7.0,0.2,5.1,0.235,7.0,0.25,7.75,0.235,8.01,0.275,8.07,0.285,7.82,0.31
8.27,0.25,7.56,0.265,300.4,4.65,6.04,0.375,7.0,0.2,5.12,0.185,7.0,0.4,7.79,0.16,8.07,0.3,8.14,0.34,7.85,0.195
8.33,0.275,7.58,0.14,300.4,5.85,6.05,0.275,7.0,0.3,5.13,0.19,7.0,0.25,7.8,0.265,8.1,0.23,8.21,0.22,7.86,0.225
8.33,0.365,7.61,0.355,300.5,5.5,6.06,0.295,7.0,0.2,5.15,0.27,7.0,0.35,7.84,0.23,8.17,0.165,8.22,0.2,7.88,0.27
8.36,0.365,7.61,0.315,300.6,7.85,6.13,0.42,7.0,0.4,5.16,0.285,7.0,0.35,7.89,0.125,8.22,0.25,8.23,0.215,7.88,0.145
8.44,0.365,7.62,0.25,300.7,6.95,6.14,0.27,7.0,0.25,5.16,0.3,7.0,0.35,7.89,0.2,8.23,0.23,8.29,0.18,7.89,0.27
8.51,0.3,7.65,0.23,300.9,6.45,6.26,0.295,7.1,0.3,5.19,0.235,7.1,0.4,7.92,0.24,8.26,0.255,8.3,0.18,7.89,0.2
8.55,0.345,7.66,0.23,301.0,5.9,6.29,0.215,7.1,0.2,5.19,0.13,7.1,0.2,7.92,0.35,8.39,0.145,8.32,0.135,7.9,0.175
8.56,0.205,7.7,0.25,301.2,3.45,6.43,0.23,7.1,0.25,5.2,0.23,7.1,0.25,7.94,0.155,8.46,0.26,8.37,0.24,7.92,0.165
8.62,0.34,7.72,0.385,301.3,5.15,6.49,0.32,7.1,0.55,5.21,0.27,7.1,0.15,7.96,0.145,8.47,0.18,8.39,0.215,7.92,0.26
8.62,0.485,7.73,0.3,301.6,4.4,6.51,0.3,7.1,0.3,5.22,0.165,7.1,0.3,7.98,0.325,8.48,0.21,8.48,0.425,7.95,0.21
8.67,0.39,7.76,0.24,301.6,6.25,6.52,0.305,7.2,0.45,5.27,0.435,7.1,0.3,8.0,0.285,8.51,0.22,8.52,0.205,8.01,0.23
8.68,0.215,7.79,0.245,301.7,4.95,6.56,0.3,7.2,0.25,5.28,0.215,7.1,0.2,8.03,0.19,8.56,0.345,8.53,0.22,8.02,0.225
8.79,0.39,7.79,0.405,302.0,5.5,6.61,0.39,7.2,0.3,5.31,0.185,7.1,0.3,8.05,0.245,8.57,0.31,8.56,0.44,8.03,0.43
8.79,0.485,7.86,0.25,302.0,7.05,6.64,0.325,7.2,0.15,5.33,0.215,7.1,0.2,8.16,0.325,8.59,0.345,8.59,0.365,8.07,0.22
8.87,0.44,7.87,0.275,302.2,5.0,6.65,0.37,7.2,0.2,5.37,0.355,7.2,0.3,8.21,0.14,8.66,0.245,8.64,0.255,8.09,0.215
8.88,0.455,7.9,0.265,302.3,5.4,6.66,0.255,7.2,0.25,5.39,0.205,7.2,0.3,8.24,0.12,8.69,0.305,8.72,0.2,8.14,0.34
8.89,0.46,7.92,0.355,302.4,6.35,6.73,0.185,7.2,0.15,5.41,0.295,7.2,0.4,8.3,0.235,8.95,0.35,8.91,0.19,8.16,0.225
8.93,0.325,7.92,0.295,302.5,6.25,6.78,0.275,7.3,0.3,5.42,0.185,7.2,0.25,8.36,0.155,9.02,0.25,8.98,0.155,8.19,0.195
8.97,0.315,7.93,0.47,302.6,5.55,6.83,0.46,7.4,0.2,5.43,0.435,7.2,0.25,8.36,0.295,9.04,0.28,9.21,0.17,8.3,0.275
9.0,0.495,7.94,0.375,302.6,6.0,6.84,0.39,7.4,0.45,5.5,0.3,7.2,0.4,8.38,0.305,9.23,0.33,9.23,0.285,8.31,0.345
9.04,0.32,7.97,0.265,302.6,6.8,6.86,0.31,7.4,0.2,5.54,0.35,7.2,0.15,8.38,0.48,9.25,0.325,9.28,0.21,8.33,0.26
9.08,0.195,7.98,0.245,302.7,6.3,6.87,0.23,7.5,0.15,5.57,0.225,7.2,0.2,8.42,0.255,9.32,0.325,9.34,0.455,8.33,0.275
9.08,0.495,7.99,0.39,302.7,5.1,6.89,0.355,7.6,0.25,5.58,0.205,7.2,0.3,8.42,0.105,9.34,0.31,9.34,0.195,8.49,0.32
9.12,0.45,8.01,0.285,302.9,4.75,6.92,0.3,7.6,0.35,5.63,0.25,7.3,0.15,8.43,0.245,9.39,0.345,9.36,0.29,8.53,0.325
9.41,0.265,8.03,0.35,303.0,4.15,6.94,0.355,7.6,0.4,5.74,0.235,7.3,0.4,8.5,0.19,9.44,0.51,9.4,0.37,8.53,0.25
9.55,0.415,8.03,0.31,303.0,6.1,6.98,0.435,7.7,0.3,5.92,0.28,7.3,0.3,8.5,0.175,9.44,0.415,9.46,0.395,8.54,0.215
9.62,0.32,8.04,0.245,303.1,4.05,6.98,0.23,7.7,0.35,5.94,0.185,7.3,0.4,8.53,0.2,9.48,0.225,9.46,0.225,8.56,0.225
9.72,0.27,8.06,0.38,303.2,8.0,7.03,0.225,7.7,0.25,6.12,0.225,7.3,0.25,8.54,0.22,9.49,0.215,9.47,0.39,8.56,0.235
9.73,0.28,8.07,0.36,303.3,5.1,7.06,0.28,7.8,0.65,6.19,0.425,7.3,0.25,8.59,0.245,9.5,0.185,9.59,0.205,8.58,0.265
9.83,0.415,8.07,0.475,303.3,6.4,7.06,0.23,7.8,0.2,6.37,0.935,7.3,0.4,8.6,0.32,9.56,0.16,9.59,0.385,8.59,0.19
9.83,0.415,8.08,0.465,303.3,4.95,7.12,0.445,7.9,0.65,6.43,0.29,7.4,0.3,8.61,0.14,9.58,0.185,9.62,0.445,8.62,0.32
9.83,0.245,8.13,0.42,303.4,6.45,7.13,0.585,8.0,0.4,6.45,0.31,7.4,0.2,8.63,0.2,9.59,0.245,9.64,0.155,8.67,0.185
9.89,0.27,8.13,0.16,303.4,5.8,7.15,0.245,8.0,0.3,6.49,0.205,7.4,0.35,8.63,0.12,9.65,0.25,9.64,0.19,8.72,0.4
9.94,0.505,8.14,0.405,303.5,4.15,7.15,0.635,8.1,0.3,7.0,0.195,7.4,0.3,8.64,0.13,9.66,0.305,9.65,0.46,8.73,0.245
10.1,0.35,8.17,0.28,303.5,3.4,7.16,0.28,8.3,0.4,7.03,0.3,7.4,0.3,8.66,0.385,9.67,0.31,9.68,0.33,8.91,0.225
10.1,0.3,8.18,0.33,303.5,5.15,7.2,0.335,8.6,0.45,7.06,0.315,7.4,0.25,8.72,0.23,9.67,0.24,9.69,0.255,8.92,0.3
