
Similarity
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0,0.6133213898248443,1.8108082281438983e-05,0.6992288282328335,0.15181258105843223,0.7491287518926435,0.1934049533643737,0.7737459212436146,0.6280113511085298,0.638665066633467,0.8251114543465287
CT-2,251,0.6133213898248443,1.0,0.0004644823953931344,0.9095755233639239,0.29888261259152504,0.8378450989865249,0.3455822525164023,0.6863630247267717,0.6131180248638556,0.7550601961277169,0.8116771645748161
CT-3,267,1.8108082281438983e-05,0.0004644823953931344,1.0,1.760201630465289e-05,1.3435810905512148e-05,2.394231390336162e-05,2.2920476143965046e-06,4.018443824330324e-06,0.0007665225238514252,1.1044145901480208e-05,4.486562478202873e-07
CT-4,308,0.6992288282328335,0.9095755233639239,1.760201630465289e-05,1.0,0.45205920270190536,0.9102000282098441,0.44253279652431066,0.8466432438798627,0.7802270194403335,0.9011700752397789,0.9160409839726467
CT-5,259,0.15181258105843223,0.29888261259152504,1.3435810905512148e-05,0.45205920270190536,1.0,0.24127617115606453,0.8303331679184697,0.5301047849876052,0.5719836936297609,0.6012222479234588,0.43065561327970964
CT-6,299,0.7491287518926435,0.8378450989865249,2.394231390336162e-05,0.9102000282098441,0.24127617115606453,1.0,0.23689303246944748,0.712785152661593,0.6498409331467081,0.7439978376373851,0.8289486576833942
CT-7,219,0.1934049533643737,0.3455822525164023,2.2920476143965046e-06,0.44253279652431066,0.8303331679184697,0.23689303246944748,1.0,0.529231021547789,0.531413199324636,0.5719997178206762,0.4365268001632228
CT-8.2,222,0.7737459212436146,0.6863630247267717,4.018443824330324e-06,0.8466432438798627,0.5301047849876052,0.712785152661593,0.529231021547789,1.0,0.8965600267048337,0.9222412621057509,0.9323458995189022
CT-9,250,0.6280113511085298,0.6131180248638556,0.0007665225238514252,0.7802270194403335,0.5719836936297609,0.6498409331467081,0.531413199324636,0.8965600267048337,1.0,0.8465133712629784,0.8197692309433875
CT-10,203,0.638665066633467,0.7550601961277169,1.1044145901480208e-05,0.9011700752397789,0.6012222479234588,0.7439978376373851,0.5719997178206762,0.9222412621057509,0.8465133712629784,1.0,0.9123643456264523
CT-11,215,0.8251114543465287,0.8116771645748161,4.486562478202873e-07,0.9160409839726467,0.43065561327970964,0.8289486576833942,0.4365268001632228,0.9323458995189022,0.8197692309433875,0.9123643456264523,1.0

CT-1,152,0.0,91.78735871497136,274.5753986134887,85.27299056621283,85.18430441097587,61.33589474052336,84.3087266532209,73.12875694299306,80.98559682784855,70.15273352356074,70.45597576247334
CT-2,251,91.78735871497136,0.0,252.37073479110344,136.12586716906333,138.9859841364608,107.6862085037249,137.42715911984712,126.08092300851219,75.18993340379009,122.9539703875666,124.07134799275553
CT-3,267,274.5753986134887,252.37073479110344,0.0,277.95490095556704,278.61840313812826,275.59531499772584,279.3900432031292,274.7473985001567,244.54743637269885,273.8672584351393,274.57067883541623
CT-4,308,85.27299056621283,136.12586716906333,277.95490095556704,0.0,10.147892019700182,52.20514271338249,7.787558537395736,15.976362133338611,80.54170372557049,18.882619040439835,18.347181044910286
CT-5,259,85.18430441097587,138.9859841364608,278.61840313812826,10.147892019700182,0.0,51.29466293220196,5.604209189792953,16.849852511861148,85.10539321104179,19.027911164843594,18.275655806658893
CT-6,299,61.33589474052336,107.6862085037249,275.59531499772584,52.20514271338249,51.29466293220196,0.0,51.098168835479996,44.63318265608791,80.11521486769085,38.95536973305073,42.07445106601794
CT-7,219,84.3087266532209,137.42715911984712,279.3900432031292,7.787558537395736,5.604209189792953,51.098168835479996,0.0,14.775559852208396,83.23489140159275,18.010184072004286,16.59278708634589
CT-8.2,222,73.12875694299306,126.08092300851219,274.7473985001567,15.976362133338611,16.849852511861148,44.63318265608791,14.775559852208396,0.0,73.77404590785835,13.064165641824943,5.794544439703297
CT-9,250,80.98559682784855,75.18993340379009,244.54743637269885,80.54170372557049,85.10539321104179,80.11521486769085,83.23489140159275,73.77404590785835,0.0,73.70969725433537,73.11092488919606
CT-10,203,70.15273352356074,122.9539703875666,273.8672584351393,18.882619040439835,19.027911164843594,38.95536973305073,18.010184072004286,13.064165641824943,73.70969725433537,0.0,10.501265434006342
CT-11,215,70.45597576247334,124.07134799275553,274.57067883541623,18.347181044910286,18.275655806658893,42.07445106601794,16.59278708634589,5.794544439703297,73.11092488919606,10.501265434006342,0.0
